geometry,county_id,apn,land_use_type_id,res_type,land_value,improvement_value,year_assessed,year_built,building_sqft,non_residential_sqft,residential_units,stories,tax_exempt,condo_identifier,imputation_flag,development_type_id,calc_area,parcel_id,zone_id,general_plan_name,city,priority,x,y
"POLYGON ((-122.2768790619469 37.77465368021328, -122.2768853628638 37.77451276342973, -122.277232693946 37.77452255003686, -122.2772284331851 37.77466352706898, -122.2768790619469 37.77465368021328))",Alameda,074 042900400,3100,,209273.0,506662.0,2003.0,,5100.0,5100.0,0.0,1.0,0.0, ,_,RS,480.552883521,143509,959.0,COMMUNITY COMMERCIAL,Alameda,1.0,-122.277056386,37.774588199
"POLYGON ((-122.2685535138508 37.77467559108264, -122.2685586553377 37.77458819194233, -122.268898456868 37.77459620693096, -122.2688951862956 37.77468365191591, -122.2685535138508 37.77467559108264))",Alameda,073 039002600,1100,single,178500.0,416500.0,2006.0,1894.0,1406.0,0.0,1.0,1.5,0.0, ,_,HS,291.569940337,142321,959.0,MEDIUM-DENSITY RESIDENTIAL,Alameda,1.0,-122.268726452,37.7746359505
"POLYGON ((-122.2672616122968 37.7674032357887, -122.2671581506726 37.76736187056805, -122.2671660683681 37.76715739588899, -122.2672702079752 37.76718131405242, -122.2675320173117 37.7671877058804, -122.267413211212 37.76734068910218, -122.2673745364712 37.76733999181655, -122.2673213076073 37.76740467307397, -122.2672616122968 37.7674032357887))",Alameda,074 129013503,1100,single,54321.0,120469.0,1976.0,1970.0,2300.0,0.0,1.0,2.0,0.0, ,_,HS,587.316155085,148675,959.0,LOW-DENSITY RESIDENTIAL,Alameda,1.0,-122.267307635,37.7672733049
"POLYGON ((-122.2675637467417 37.77296402872619, -122.2675677347244 37.77285474103124, -122.2679545697441 37.77286359476877, -122.267950336997 37.7729801758011, -122.2675637467417 37.77296402872619))",Alameda,073 039101900,3200,,20134.0,27352.0,2010.0,1900.0,3418.0,3418.0,0.0,2.0,0.0, ,_,MR,427.508581157,142370,959.0,MEDIUM-DENSITY RESIDENTIAL,Alameda,1.0,-122.267761178,37.7729157029
"POLYGON ((-122.2652652726779 37.7672539707302, -122.265266155928 37.76722925781868, -122.2652668533285 37.76720982469454, -122.2654397593736 37.76721373706871, -122.2654395645011 37.76721922787674, -122.2654430233515 37.76721930539266, -122.2654416534219 37.76725790252416, -122.2652652726779 37.7672539707302))",Alameda,074 127509300,1000,multi,9892.0,0.0,2008.0,,0.0,0.0,1.0,0.0,0.0, ,_,HS,75.9581928546,148403,959.0,LOW-DENSITY RESIDENTIAL,Alameda,1.0,-122.265354016,37.7672339206
"POLYGON ((-122.2654416534219 37.76725790252416, -122.2654430233515 37.76721930539266, -122.2655778880734 37.76722235886783, -122.2655838031211 37.76704467652812, -122.2656095405034 37.76701150764213, -122.265975068133 37.76701978029446, -122.2659662354942 37.76726959349468, -122.2654416534219 37.76725790252416))",Alameda,074 127509500,1100,single,508292.0,1186221.0,2008.0,1910.0,4059.0,0.0,1.0,0.0,0.0, ,_,HS,1000.24827588,148405,959.0,LOW-DENSITY RESIDENTIAL,Alameda,1.0,-122.265762897,37.7671458424
"POLYGON ((-122.2678754182722 37.76792279130495, -122.267678632665 37.76791763157577, -122.2676810692221 37.76785251416822, -122.2676861616579 37.76771664246775, -122.2676874180068 37.76768308209783, -122.2679106869012 37.76768864980795, -122.2679037695329 37.76786339462035, -122.2681421970031 37.76786934176226, -122.2681399837761 37.76792973096404, -122.2678754182722 37.76792279130495))",Alameda,074 129017400,1100,single,70367.0,71771.0,2008.0,1953.0,1623.0,0.0,1.0,1.0,0.0, ,_,HS,652.878550741,148678,959.0,LOW-DENSITY RESIDENTIAL,Alameda,1.0,-122.267843527,37.7678232654
"POLYGON ((-122.2687009035087 37.76812349649022, -122.2687039507758 37.76804627867732, -122.268712000781 37.76784229893237, -122.2687152964977 37.76775880869691, -122.268882554651 37.76776277603986, -122.2688781335253 37.76795811222768, -122.2688748793943 37.76810190521998, -122.2690416052987 37.76810585558732, -122.2690406389629 37.76813154474031, -122.2687009035087 37.76812349649022))",Alameda,074 129002300,1100,single,204900.0,478100.0,2003.0,1940.0,1613.0,0.0,1.0,1.0,0.0, ,_,HS,649.800791164,148576,959.0,LOW-DENSITY RESIDENTIAL,Alameda,1.0,-122.268803836,37.7679553783
"POLYGON ((-122.2725460359334 37.77120179847711, -122.2725594662348 37.77091701383187, -122.2727163904115 37.77092205982433, -122.2727049194098 37.7712072768883, -122.2725460359334 37.77120179847711))",Alameda,073 040300100,1100,single,204838.0,477957.0,2008.0,1918.0,1739.0,0.0,1.0,1.0,0.0, ,_,HS,440.657370352,142707,959.0,LOW-DENSITY RESIDENTIAL,Alameda,1.0,-122.272631707,37.7710623349
"POLYGON ((-122.2659207023533 37.77425645942326, -122.2659293950877 37.77411905927617, -122.2665223232312 37.77414270365026, -122.2665136315246 37.77428010105291, -122.2659207023533 37.77425645942326))",Alameda,073 038801000,2700,multi,128564.0,413555.0,1994.0,1895.0,6526.0,0.0,4.0,2.0,0.0, ,_,HT,798.531002211,142239,959.0,MEDIUM-DENSITY RESIDENTIAL,Alameda,1.0,-122.266221512,37.7741995808
"POLYGON ((-122.2650057216924 37.77073439873537, -122.2649939115907 37.77101488646063, -122.2647776812299 37.77100914740909, -122.2647897663169 37.77072853708687, -122.2650057216924 37.77073439873537))",Alameda,072 037300700,2200,multi,137824.0,321828.0,1992.0,,2598.0,0.0,2.0,2.0,0.0, ,_,HT,593.440066706,141810,959.0,LOW-DENSITY RESIDENTIAL,Alameda,1.0,-122.264891761,37.7708717714
"POLYGON ((-122.2652006119139 37.76903871675506, -122.265193902857 37.76920328373836, -122.2648431089376 37.76919426889988, -122.264850356136 37.76902903230497, -122.2652006119139 37.76903871675506))",Alameda,072 037200304,1100,single,22603.0,112447.0,1995.0,1970.0,2672.0,0.0,1.0,2.0,0.0, ,_,HS,565.81667329,141787,959.0,LOW-DENSITY RESIDENTIAL,Alameda,1.0,-122.265021873,37.7691163422
"POLYGON ((-122.2717529854417 37.77179859556279, -122.2716621014335 37.77179571485799, -122.2715817832321 37.77179316678193, -122.271595836512 37.77138970462291, -122.2717781117688 37.77139370581432, -122.2717639946926 37.77179894388883, -122.2717529854417 37.77179859556279))",Alameda,073 040401200,2400,multi,195000.0,455000.0,2004.0,1907.0,2735.0,0.0,4.0,2.0,0.0, ,_,HT,721.179329279,142754,959.0,MEDIUM-DENSITY RESIDENTIAL,Alameda,1.0,-122.271679998,37.7715938822
"POLYGON ((-122.2714838832772 37.77179006197836, -122.2713710989519 37.77178648570532, -122.2713850811235 37.77138507599329, -122.271595836512 37.77138970462291, -122.2715817832321 37.77179316678193, -122.2714838832772 37.77179006197836))",Alameda,073 040401100,7700,multi,420000.0,630000.0,2006.0,1962.0,4113.0,0.0,6.0,2.0,0.0, ,_,HM,829.917922649,142753,959.0,MEDIUM-DENSITY RESIDENTIAL,Alameda,1.0,-122.27148354,37.7715886107
"POLYGON ((-122.2713496103834 37.77178580332452, -122.2712423117769 37.7717823996517, -122.2712562486987 37.77138224898402, -122.2713850811235 37.77138507599329, -122.2713710989519 37.77178648570532, -122.2713496103834 37.77178580332452))",Alameda,073 040401000,1100,single,90416.0,210970.0,2004.0,1890.0,1362.0,0.0,1.0,1.0,0.0, ,_,HS,505.228624819,142752,959.0,MEDIUM-DENSITY RESIDENTIAL,Alameda,1.0,-122.271313719,37.771584053
"POLYGON ((-122.271238339568 37.77178227529057, -122.2710682523471 37.77177688164605, -122.2710705534869 37.77171069783639, -122.2710743535737 37.7716017233193, -122.2710772763822 37.77151779943955, -122.2710821370928 37.771378426197, -122.2712562486987 37.77138224898402, -122.2712423117769 37.7717823996517, -122.271238339568 37.77178227529057))",Alameda,073 040400900,1100,single,171300.0,399700.0,2007.0,1890.0,1339.0,0.0,1.0,1.0,0.0, ,_,HS,680.309254881,142751,959.0,MEDIUM-DENSITY RESIDENTIAL,Alameda,1.0,-122.271162298,37.7715799928
"POLYGON ((-122.2706612471709 37.77159262095255, -122.2706641810474 37.77150869971226, -122.2710772763822 37.77151779943955, -122.2710743535737 37.7716017233193, -122.2706612471709 37.77159262095255))",Alameda,073 040400700,1100,single,66240.0,154561.0,2008.0,1950.0,1568.0,0.0,1.0,1.0,0.0, ,_,HS,339.231465459,142749,959.0,MEDIUM-DENSITY RESIDENTIAL,Alameda,1.0,-122.270869266,37.7715552111
"POLYGON ((-122.2706574360098 37.77170159840227, -122.2706612471709 37.77159262095255, -122.2710743535737 37.7716017233193, -122.2710705534869 37.77171069783639, -122.2706574360098 37.77170159840227))",Alameda,073 040400600,2500,multi,36088.0,20892.0,2009.0,1908.0,2096.0,0.0,2.0,0.0,0.0, ,_,HT,440.513822716,142748,959.0,MEDIUM-DENSITY RESIDENTIAL,Alameda,1.0,-122.270865897,37.7716516603
